,crimetype,datetime,casenumber,description,policebeat,address,city,state,location_1,:@computed_region_w23w_jfhw
936,VANDALISM,2021-03-27 03:00:00,21-904391,VANDALISM,05X,1100 21ST ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.283864, 37.81432]}",1484.0
937,NARCOTICS,2016-01-21 07:53:00,16-003634,VIOLATION OF PROBATION-MISD,22Y,3400 KANSAS ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.199857, 37.795176]}",1480.0
938,GRAND THEFT,2021-06-01 01:00:00,21-908419,THEFT,13X,5200 MASONIC AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.225244, 37.83579]}",1491.0
941,ARSON,2016-03-01 02:42:00,16-011271,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,33X,1000 ELMHURST AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.178397, 37.74293]}",1481.0
942,VANDALISM,2021-05-19 08:50:00,21-908709,VANDALISM,32X,10900 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.164746, 37.73672]}",1481.0
943,STOLEN VEHICLE,2021-04-23 13:00:00,21-018547,VEHICLE THEFT - AUTO,23X,3200 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.22584, 37.777616]}",1188.0
945,BURG - AUTO,2021-06-26 09:45:00,21-910014,BURGLARY-AUTO,01X,300 3RD ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.271864, 37.795151]}",1484.0
946,PROSTITUTION,2016-01-10 02:33:00,16-001647,LOITER:INTENT:PROSTITUTION,23X,4000 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.217943, 37.773876]}",1188.0
947,ROBBERY,2016-03-09 13:30:00,16-012937,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",30X,7200 INTERNATIONAL BLVD,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.187841, 37.759625]}",1493.0
948,DISORDERLY CONDUCT,2021-04-04 11:46:00,21-015305,DISTURB THE PEACE,34X,2000 85TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.170449, 37.756861]}",1493.0
949,DOMESTIC VIOLENCE,2021-04-23 12:48:00,21-018541,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,32Y,2400 WARNER AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.158929, 37.748155]}",1481.0
